부품명,Part No,제목,정리,부품체계_1,부품체계_2,부품체계_3,data,target,target_빈도,data_len,predict
BOLT-FLANGE,11404-10956K,LN 11404-10956K bent (PPR 193-20),BENT,STANDARD PARTS,BOLTS,볼트_플랜지,BENT STANDARD PARTS BOLTS 볼트플랜지,휨,619,5,치수불량
BOLT-FLANGE,11405-10556K,LN 11405-10556K (PPR 270-20),,STANDARD PARTS,BOLTS,볼트_플랜지, STANDARD PARTS BOLTS 볼트플랜지,이물유입,124,5,치수불량
"BOLT-WASHER ASSY, PAINT CLEAR",11983-08253,DIMENSION PROBLEM (ST),DIMENSION PROBLEM,STANDARD PARTS,BOLTS,볼트_와셔,DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,치수불량,242,6,치수불량
"BOLT-WASHER ASSY, PAINT CLEAR",11983-08253,DIMENSION PROBLEM (ST),DIMENSION PROBLEM,STANDARD PARTS,BOLTS,볼트_와셔,DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,치수불량,242,6,치수불량
"BOLT-WASHER ASSY, PAINT CLEAR",11983-08253,DIMENSION PROBLEM (ST),DIMENSION PROBLEM,STANDARD PARTS,BOLTS,볼트_와셔,DIMENSION PROBLEM STANDARD PARTS BOLTS 볼트와셔,치수불량,242,6,치수불량
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
"NUT-FLANGE, CAP",13198-06000B,Broken hook,BROKEN,STANDARD PARTS,"NUTS,WASHER",너트_플런지,BROKEN STANDARD PARTS NUTSWASHER 너트플런지,파손,546,5,파손
NUT-WASHER ASSY,13277-06007K,PACKING PROBLEM_삼진정공(주)_NUT-WASHER ASSY_SHORTAGE (K200200695) 319260,PACKING PROBLEM NUT SHORTAGE,STANDARD PARTS,"NUTS,WASHER",너트_와셔,PACKING PROBLEM NUT SHORTAGE STANDARD PARTS NUTSWASHER 너트와셔,수량부족,98,8,웰드너트위치불량
NUT-FLANGE,13387-12007K,ABNORMAL RECEIVING (ST),ABNORMAL RECEIVING,STANDARD PARTS,"NUTS,WASHER",너트_플런지,ABNORMAL RECEIVING STANDARD PARTS NUTSWASHER 너트플런지,이종,199,6,이종
PIN-DOWEL,14303-08140,이종 ,이종,STANDARD PARTS,FASTENERS-MISC/PIPE HOSE,핀_도울,이종 STANDARD PARTS FASTENERSMISC/PIPE HOSE 핀도울,이종,199,6,이종
CAP-SEALING,15734-22000,LN 15734-22000 damage (PPR 222-20),DAMAGE,STANDARD PARTS,FITTINGS-TUBE/PIPE,캡_실링,DAMAGE STANDARD PARTS FITTINGSTUBE/PIPE 캡실링,파손,546,5,파손
PLUG ASSY-SPARK(SILZKR6B10),18846-10060,LN 18846-10060 missing marking (PPR 003-20),MISSING MARKING,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,MISSING MARKING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,마킹누락,7,8,볼트누락
PLUG ASSY-SPARK(SILZKR6B10),18846-10060,LN 18846-10060 damaged (PPR 137-20),DAMAGED,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,DAMAGED STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,파손,546,7,파손
PLUG ASSY-SPARK(SILZKR8E8G),18849-08080,SVG 18849-08080 irregular running (PPR 305-20),IRREGULAR RUNNING,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,작동불량,381,8,작동불량
PLUG ASSY-SPARK(SILZKR8E8G),18849-08080,SVG 18849-08080 irregular running (PPR 293-20),IRREGULAR RUNNING,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,작동불량,381,8,작동불량
PLUG ASSY-SPARK(SILZKR8E8G),18849-08080,SVG 18849-08080 irregular running (PPR 185-20),IRREGULAR RUNNING,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,IRREGULAR RUNNING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,작동불량,381,8,작동불량
PLUG ASSY-SPARK(SILZKR8E8G),18849-08080,LN 18849-08080 missing marking (PPR 310-20),MISSING MARKING,STANDARD PARTS,ELECTRIC FASTENER & FITTING,플러그_스파크,MISSING MARKING STANDARD PARTS ELECTRIC FASTENER FITTING 플러그스파크,작동불량,381,8,볼트누락
"GB PE 1.0 MT TGDI E6C ISG

",20100-39WPA,STARTER IS NOT FITTING TO HOUSING  (L),UNFITTING,ENGINE,ASSEMBLY,엔진,UNFITTING ENGINE ASSEMBLY 엔진,하우징조립불가,1,4,서브파트누락
"GB PE 1.0 DCT TGDI E6C ISG

",20100-40WPA,ENGINE OIL CAP IS LOOSE (L),LOOSE,ENGINE,ASSEMBLY,엔진,LOOSE ENGINE ASSEMBLY 엔진,캡헐거움,1,4,서브파트누락
"CD18 K 1,0 T/GDI M/T E6 ISG",20100-57WEA,SVG 20100-57WEA OPS problem (KD ENG 01/01/20),WEA OPS PROBLEM,ENGINE,ASSEMBLY,엔진,WEA OPS PROBLEM ENGINE ASSEMBLY 엔진,나사산찍힘,5,6,작동불량
PDE 1.0K T-GDI M/T E6C ISG A/C,20100-59WP0,Oil leak,LEAK,ENGINE,ASSEMBLY,엔진,LEAK ENGINE ASSEMBLY 엔진,누유,82,4,DTC불량
PDE 1.4K T-GDI M/T E6C ISG,20100-77ME0,Oil leak,LEAK,ENGINE,ASSEMBLY,엔진,LEAK ENGINE ASSEMBLY 엔진,누유,82,4,DTC불량
PDE 1.4K T-GDI M/T E6C ISG,20100-77ME0,Missing hole,MISSING HOLE,ENGINE,ASSEMBLY,엔진,MISSING HOLE ENGINE ASSEMBLY 엔진,홀누락,43,5,홀누락
PDE 1.4K T-GDI M/T E6C ISG,20100-77ME0,INOP,INOP,ENGINE,ASSEMBLY,엔진,INOP ENGINE ASSEMBLY 엔진,작동불량,381,4,작동불량
"1.4 T-GDI/무연/MT/EURO 5,6/ISG-(AMS)",20100-77MNA,Oil Leak Observed From Turbo Inlet Pipe,LEAK,ENGINE,ASSEMBLY,엔진,LEAK ENGINE ASSEMBLY 엔진,파이프휨,2,4,DTC불량
"AC3 1.0 KAPPA T-GDI

",20100-77WPA,MALFUNCTION PROBLEM (RP),MALFUNCTION PROBLEM,ENGINE,ASSEMBLY,엔진,MALFUNCTION PROBLEM ENGINE ASSEMBLY 엔진,작동불량,381,5,작동불량
"AC3 1.0 KAPPA T-GDI

",20100-77WPA,INJECTOR PROBLEM (RP),PROBLEM,ENGINE,ASSEMBLY,엔진,PROBLEM ENGINE ASSEMBLY 엔진,압력미달,2,4,오염
PDE 1.4K TGDI M/T EU6C ISG,20100-79ME0,INOP,INOP,ENGINE,ASSEMBLY,엔진,INOP ENGINE ASSEMBLY 엔진,작동불량,381,4,작동불량
A2 VAN/TRUCK EURO3 130A,20100-LV910,SUB-PART PROBLEM,SUBPART PROBLEM,ENGINE,ASSEMBLY,엔진,SUBPART PROBLEM ENGINE ASSEMBLY 엔진,서브파트누락,116,5,서브파트누락
ANTENNA ASSY-ROOF,96260-1M000,SUB-PART PROBLEM,SUBPART PROBLEM,ELECTRICAL,"RADIO/CASS, HORN ETC(SOUND)",안테나_루프,SUBPART PROBLEM ELECTRICAL RADIO/CASS HORN ETC(SOUND) 안테나루프,서브파트누락,116,7,서브파트누락
A2 TRIMVAN EURO3 180A,20100-LV950,FUNCTION PROBLEM,FUNCTION PROBLEM,ENGINE,ASSEMBLY,엔진,FUNCTION PROBLEM ENGINE ASSEMBLY 엔진,노이즈,404,5,노이즈
GSB 1.6 GM MPI AT+BR L6,20100-MJ100,MJ10 ENGINE CRETA 1.6AT GM MPI PCD - FUNCTION PROBLEM,FUNCTION PROBLEM,ENGINE,ASSEMBLY,엔진,FUNCTION PROBLEM ENGINE ASSEMBLY 엔진,DTC불량,96,5,노이즈
GSB 1.6 GM MPI AT+BR L6,20100-MJ100,MJ10 ENGINE ASSY CRETA 1.6AT GM MPI PCD Missing guide pin.,MISSING,ENGINE,ASSEMBLY,엔진,MISSING ENGINE ASSEMBLY 엔진,DTC불량,96,4,서브파트누락
CAP-BEARING,21112-08000,LN 21112-08000 unwanted material (PPR 180-20),UNWANTED MATERIAL,ENGINE,CYLINDER BLOCK,캡_베어링,UNWANTED MATERIAL ENGINE CYLINDER BLOCK 캡베어링,이물유입,124,6,이물유입
CAP-BEARING,21112-08000,CAP BEARING -Blow Hole  & Arrow Shape not formed properly,BLOW HOLE ARROW SHAPE NOT FORMED PROPERLY,ENGINE,CYLINDER BLOCK,캡_베어링,BLOW HOLE ARROW SHAPE NOT FORMED PROPERLY ENGINE CYLINDER BLOCK 캡베어링,미성형,58,11,기공
CAP-BEARING,21112-08000,"Blow Holes, Notch Shift														",BLOW HOLES,ENGINE,CYLINDER BLOCK,캡_베어링,BLOW HOLES ENGINE CYLINDER BLOCK 캡베어링,기공,32,6,기공
CAP-BEARING,21112-08000,"Blow Holes, Length NG,Notch Shift",BLOW HOLES LENGTH,ENGINE,CYLINDER BLOCK,캡_베어링,BLOW HOLES LENGTH ENGINE CYLINDER BLOCK 캡베어링,기공,32,7,기공
CAP-CENTER BEARING,21113-08000,Improper Printing,IMPROPER PRINTING,ENGINE,CYLINDER BLOCK,캡_센터베어링,IMPROPER PRINTING ENGINE CYLINDER BLOCK 캡센터베어링,타각불량,8,6,타각불량
CAP-CENTER BEARING,21113-08000,Improper Number Printing,IMPROPER NUMBER PRINTING,ENGINE,CYLINDER BLOCK,캡_센터베어링,IMPROPER NUMBER PRINTING ENGINE CYLINDER BLOCK 캡센터베어링,타각불량,8,7,칩
LADDERFRAME SUB ASSY,21120-2G754,버(BURR) 라인조립 지그간섭,BURR 라인조립 지그간섭,ENGINE,CYLINDER BLOCK,래더프레임서브,BURR 라인조립 지그간섭 ENGINE CYLINDER BLOCK 래더프레임서브,버,382,7,버
LADDERFRAME SUB ASSY,21120-2G754,버(BURR) 라인조립 지그간섭,BURR 라인조립 지그간섭,ENGINE,CYLINDER BLOCK,래더프레임서브,BURR 라인조립 지그간섭 ENGINE CYLINDER BLOCK 래더프레임서브,버,382,7,버
LADDERFRAME SUB ASSY,21120-2GGA0,WRONG HOLE SIZE ,WRONG HOLE SIZE,ENGINE,CYLINDER BLOCK,래더프레임서브,WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,홀치수불량,25,7,홀치수불량
LADDERFRAME SUB ASSY,21120-2GGA0,WRONG HOLE SIZE ,WRONG HOLE SIZE,ENGINE,CYLINDER BLOCK,래더프레임서브,WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,홀치수불량,25,7,홀치수불량
LADDERFRAME SUB ASSY,21120-2GGA0,WRONG HOLE SIZE ,WRONG HOLE SIZE,ENGINE,CYLINDER BLOCK,래더프레임서브,WRONG HOLE SIZE ENGINE CYLINDER BLOCK 래더프레임서브,홀치수불량,25,7,홀치수불량
FRAME ASSY-LADDER,21130-07000,Oil Filter Area Dent Marks,DENT MARKS,ENGINE,CYLINDER BLOCK,프레임_래더,DENT MARKS ENGINE CYLINDER BLOCK 프레임래더,덴트,204,6,덴트
FRAME ASSY-LADDER,21130-07000,Oil Filter Area Dent Mark,DENT,ENGINE,CYLINDER BLOCK,프레임_래더,DENT ENGINE CYLINDER BLOCK 프레임래더,덴트,204,5,덴트
FRAME ASSY-LADDER,21130-07000,Oil Filter Area Dent & Scratch,DENT SCRATCH,ENGINE,CYLINDER BLOCK,프레임_래더,DENT SCRATCH ENGINE CYLINDER BLOCK 프레임래더,스크래치,892,6,스크래치
FRAME ASSY-LADDER,21130-07000,Blow Holes In M6 Thread Holes & Oil Filter Assy Area,BLOW HOLES THREAD HOLES,ENGINE,CYLINDER BLOCK,프레임_래더,BLOW HOLES THREAD HOLES ENGINE CYLINDER BLOCK 프레임래더,기공,32,8,기공
"FRAME ASSY-LADDER

",21130-08010,Oil Filter Area Dent & Scratches,DENT SCRATCHES,ENGINE,CYLINDER BLOCK,프레임_래더,DENT SCRATCHES ENGINE CYLINDER BLOCK 프레임래더,스크래치,892,6,덴트
"FRAME ASSY-LADDER

",21130-08010,"OIL FILTER AREA DAMAGED & SCRATCHES,DENTS ",DAMAGED SCRATCHES DENTS,ENGINE,CYLINDER BLOCK,프레임_래더,DAMAGED SCRATCHES DENTS ENGINE CYLINDER BLOCK 프레임래더,파손,546,7,파손
"FRAME ASSY-LADDER

",21130-08010,"Blow Holes Observed In Oil Pan M6 Threaded Hole,Blow Holes In Oil Filter Area													",BLOW HOLES THREADED HOLE BLOW HOLES,ENGINE,CYLINDER BLOCK,프레임_래더,BLOW HOLES THREADED HOLE BLOW HOLES ENGINE CYLINDER BLOCK 프레임래더,기공,32,10,기공
"FRAME ASSY-LADDER

",21130-08010,Blow Hole In Thread Hole,BLOW HOLE THREAD HOLE,ENGINE,CYLINDER BLOCK,프레임_래더,BLOW HOLE THREAD HOLE ENGINE CYLINDER BLOCK 프레임래더,기공,32,8,기공
FRAME ASSY-LADDER,21130-08050,LN 21130-08050 wrong part (PPR 225-20),WRONG PART,ENGINE,CYLINDER BLOCK,프레임_래더,WRONG PART ENGINE CYLINDER BLOCK 프레임래더,이종,199,6,이종
FRAME ASSY-LADDER,21130-08050,LN 21130-08050 porosity (PPR 317-20),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,오염,613,5,오염
FRAME ASSY-LADDER,21130-08050,LN 21130-08050 damaged pin (PPR 108-20),DAMAGED,ENGINE,CYLINDER BLOCK,프레임_래더,DAMAGED ENGINE CYLINDER BLOCK 프레임래더,파손,546,5,파손
FRAME ASSY-LADDER,21130-08050,[Quality information] LN 21130-08050 multiple porosity (PPR 195-20),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,오염,613,5,오염
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 porosity (PPR-20070203),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,기공,32,5,오염
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 porosity (PPR-20070101),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,기공,32,5,오염
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 burr (PPR-20072305),BURR,ENGINE,CYLINDER BLOCK,프레임_래더,BURR ENGINE CYLINDER BLOCK 프레임래더,버,382,5,버
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 burr (PPR-20061209),BURR,ENGINE,CYLINDER BLOCK,프레임_래더,BURR ENGINE CYLINDER BLOCK 프레임래더,버,382,5,버
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 additional material (PPR-20052903),ADDITIONAL MATERIAL,ENGINE,CYLINDER BLOCK,프레임_래더,ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,나사산칩,3,6,이물유입
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 additional material (PPR-20052001),ADDITIONAL MATERIAL,ENGINE,CYLINDER BLOCK,프레임_래더,ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,나사산칩,3,6,이물유입
FRAME ASSY-LADDER,21130-08300,TRG 21130-08300 additional material (PPR-20052001),ADDITIONAL MATERIAL,ENGINE,CYLINDER BLOCK,프레임_래더,ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,나사산칩,3,6,이물유입
FRAME ASSY-LADDER,21130-08300,LN 21130-08300 porosity (PPR 312-20),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,오염,613,5,오염
FRAME ASSY-LADDER,21130-08300,LN 21130-08300 porosity (PPR 251-20),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,오염,613,5,오염
FRAME ASSY-LADDER,21130-08300,LN 21130-08300 porosity (PPR 130-20),POROSITY,ENGINE,CYLINDER BLOCK,프레임_래더,POROSITY ENGINE CYLINDER BLOCK 프레임래더,오염,613,5,오염
FRAME ASSY-LADDER,21130-08300,LN 21130-08300 missing material (PPR 252-20),MISSING MATERIAL,ENGINE,CYLINDER BLOCK,프레임_래더,MISSING MATERIAL ENGINE CYLINDER BLOCK 프레임래더,미성형,58,6,홀누락
FRAME ASSY-LADDER,21130-08300,LN 21130-08300 burr (PPR 153-20),BURR,ENGINE,CYLINDER BLOCK,프레임_래더,BURR ENGINE CYLINDER BLOCK 프레임래더,버,382,5,버
FRAME ASSY-LADDER,21130-2B020,LN 21130-2B020 wrong dimension (PPR 210-20),WRONG DIMENSION,ENGINE,CYLINDER BLOCK,프레임_래더,WRONG DIMENSION ENGINE CYLINDER BLOCK 프레임래더,치수불량,242,6,치수불량
FRAME ASSY-Ladder,21130-2B700,TRG 21130-2B700 chips (PPR-20102908),CHIPS,ENGINE,CYLINDER BLOCK,프레임_래더,CHIPS ENGINE CYLINDER BLOCK 프레임래더,칩,58,5,칩
FRAME ASSY-Ladder,21130-2B700,LN 21130-2B700 NOK hole (PPR 301-20),NOK HOLE,ENGINE,CYLINDER BLOCK,프레임_래더,NOK HOLE ENGINE CYLINDER BLOCK 프레임래더,홀치수불량,25,6,홀치수불량
CRANKCASE ASSY-LWR,21130-2M000,"Blow Holes In ROCS, Compression Mtng Area Holes, Casting Area",BLOW HOLES HOLES CASTING,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,BLOW HOLES HOLES CASTING ENGINE CYLINDER BLOCK 크랭크케이스로워,기공,32,8,기공
CRANKCASE ASSY-LWR,21130-2M000,"Blow Holes In Rear Oil Seal Area, Compression MTNG Threads,Casting Area & Dummy Plug Area",BLOW HOLES THREADS CASTING,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,BLOW HOLES THREADS CASTING ENGINE CYLINDER BLOCK 크랭크케이스로워,기공,32,8,기공
CRANK CASE LWR,21130-2M010,Blow Hole,BLOW HOLE,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,BLOW HOLE ENGINE CYLINDER BLOCK 크랭크케이스로워,기공,32,6,기공
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 porosity (PPR-20102804),POROSITY,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,POROSITY ENGINE CYLINDER BLOCK 크랭크케이스로워,기공,32,5,오염
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 porosity (PPR-20102702),POROSITY,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,POROSITY ENGINE CYLINDER BLOCK 크랭크케이스로워,기공,32,5,오염
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 missing lot (PPR-20102806),MISSING,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,MISSING ENGINE CYLINDER BLOCK 크랭크케이스로워,로트타각누락,2,5,O링누락
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 damaged surface (PPR-20102703),DAMAGED SURFACE,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,DAMAGED SURFACE ENGINE CYLINDER BLOCK 크랭크케이스로워,파손,546,6,파손
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 damaged surface (PPR-201022805),DAMAGED SURFACE,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,DAMAGED SURFACE ENGINE CYLINDER BLOCK 크랭크케이스로워,파손,546,6,파손
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 damaged pin (PPR-20102803),DAMAGED,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,DAMAGED ENGINE CYLINDER BLOCK 크랭크케이스로워,파손,546,5,파손
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 damaged pin (PPR-20102701),DAMAGED,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,DAMAGED ENGINE CYLINDER BLOCK 크랭크케이스로워,파손,546,5,파손
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 chip (PPR-20102909),CHIP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,칩,58,5,칩
CRANKCASE ASSY-LWR,21130-2M751,TRG 21130-2M751 chip (PPR-20102905),CHIP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,칩,58,5,칩
CRANKCASE ASSY-LWR,21130-2M751,LN 21130-2M751 chip (PPR 308-20),CHIP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,칩,58,5,칩
CRANKCASE ASSY-LWR,21130-2M751,[PILOT PARTS GAMMA2 LP2] TRG 21130-2M751 rust (PPR-20092904),PART RUST,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,PART RUST ENGINE CYLINDER BLOCK 크랭크케이스로워,발청,113,6,발청
CRANKCASE ASSY-LWR,21130-2M751,[PILOT PART GAMMA2 LP2] TRG 21130-2M751 chip (PPR-20092905),PART CHIP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,PART CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,칩,58,6,칩
CRANKCASE ASSY-LWR,21130-2M751,[Pilot Part - Gamma2] TRG 21130-2M751 missing LOT (PPR-20091002),PART MISSING,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,PART MISSING ENGINE CYLINDER BLOCK 크랭크케이스로워,LOT마킹누락,3,6,서브파트누락
CRANKCASE ASSY-LWR,21130-2M751,[Event parts P1] TRG 21130-2M751 chip (PPR-20083105),EVENT PART CHIP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,EVENT PART CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,칩,58,7,칩
CRANKCASE ASSY-LWR,21130-2M800,MISSING TAP,MISSING TAP,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,MISSING TAP ENGINE CYLINDER BLOCK 크랭크케이스로워,나사산누락,5,6,두께미달
CRANKCASE ASSY-LWR,21130-2M800,MACHINING ISSUES,MACHINING,ENGINE,CYLINDER BLOCK,크랭크케이스_로워,MACHINING ENGINE CYLINDER BLOCK 크랭크케이스로워,치수불량,242,5,치수불량
CRANKCASE ASSY-LWR,21130-2M800,FM & OIL ON CRANKCASE,,ENGINE,CYLINDER BLOCK,크랭크케이스_로워, ENGINE CYLINDER BLOCK 크랭크케이스로워,이물유입,124,5,누유
BEDPLATE ASSY,21130-2U001,TRG 21130-2U001 rust (PPR-20042701),RUST,ENGINE,CYLINDER BLOCK,베드플레이트,RUST ENGINE CYLINDER BLOCK 베드플레이트,발청,113,5,발청
