data,encoded_target
DENT MARKS ENGINE CYLINDER BLOCK 프레임래더,6
DENT ENGINE CYLINDER BLOCK 프레임래더,6
DENT SCRATCH ENGINE CYLINDER BLOCK 프레임래더,23
BLOW HOLES THREAD HOLES ENGINE CYLINDER BLOCK 프레임래더,20
DENT SCRATCHES ENGINE CYLINDER BLOCK 프레임래더,23
DAMAGED SCRATCHES DENTS ENGINE CYLINDER BLOCK 프레임래더,23
BLOW HOLES THREADED HOLE BLOW HOLES ENGINE CYLINDER BLOCK 프레임래더,20
BLOW HOLE THREAD HOLE ENGINE CYLINDER BLOCK 프레임래더,20
WRONG PART ENGINE CYLINDER BLOCK 프레임래더,2
POROSITY ENGINE CYLINDER BLOCK 프레임래더,24
DAMAGED ENGINE CYLINDER BLOCK 프레임래더,6
POROSITY ENGINE CYLINDER BLOCK 프레임래더,24
POROSITY ENGINE CYLINDER BLOCK 프레임래더,20
POROSITY ENGINE CYLINDER BLOCK 프레임래더,20
BURR ENGINE CYLINDER BLOCK 프레임래더,22
BURR ENGINE CYLINDER BLOCK 프레임래더,22
ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,9
ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,9
ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 프레임래더,9
POROSITY ENGINE CYLINDER BLOCK 프레임래더,24
POROSITY ENGINE CYLINDER BLOCK 프레임래더,24
POROSITY ENGINE CYLINDER BLOCK 프레임래더,24
MISSING MATERIAL ENGINE CYLINDER BLOCK 프레임래더,19
BURR ENGINE CYLINDER BLOCK 프레임래더,22
WRONG DIMENSION ENGINE CYLINDER BLOCK 프레임래더,10
CHIPS ENGINE CYLINDER BLOCK 프레임래더,25
NOK HOLE ENGINE CYLINDER BLOCK 프레임래더,10
BLOW HOLES HOLES CASTING ENGINE CYLINDER BLOCK 크랭크케이스로워,20
BLOW HOLES THREADS CASTING ENGINE CYLINDER BLOCK 크랭크케이스로워,20
BLOW HOLE ENGINE CYLINDER BLOCK 크랭크케이스로워,20
POROSITY ENGINE CYLINDER BLOCK 크랭크케이스로워,26
POROSITY ENGINE CYLINDER BLOCK 크랭크케이스로워,26
MISSING ENGINE CYLINDER BLOCK 크랭크케이스로워,12
DAMAGED SURFACE ENGINE CYLINDER BLOCK 크랭크케이스로워,27
DAMAGED SURFACE ENGINE CYLINDER BLOCK 크랭크케이스로워,27
DAMAGED ENGINE CYLINDER BLOCK 크랭크케이스로워,8
DAMAGED ENGINE CYLINDER BLOCK 크랭크케이스로워,8
CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,28
CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,28
CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,28
PART RUST ENGINE CYLINDER BLOCK 크랭크케이스로워,29
PART CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,28
PART MISSING ENGINE CYLINDER BLOCK 크랭크케이스로워,12
EVENT PART CHIP ENGINE CYLINDER BLOCK 크랭크케이스로워,28
MISSING TAP ENGINE CYLINDER BLOCK 크랭크케이스로워,16
MACHINING ENGINE CYLINDER BLOCK 크랭크케이스로워,10
 ENGINE CYLINDER BLOCK 크랭크케이스로워,9
RUST ENGINE CYLINDER BLOCK 베드플레이트,29
POROSITY NOK ENGINE CYLINDER BLOCK 베드플레이트,30
NOK ENGINE CYLINDER BLOCK 베드플레이트,31
MISSING NUMBER ENGINE CYLINDER BLOCK 베드플레이트,12
FOREIGN MATERIAL ENGINE CYLINDER BLOCK 베드플레이트,32
FOREIGN MATERIAL ENGINE CYLINDER BLOCK 베드플레이트,32
FOREIGN MATERIAL ENGINE CYLINDER BLOCK 베드플레이트,32
DEFORMATION ENGINE CYLINDER BLOCK 베드플레이트,8
DEFORMATION ENGINE CYLINDER BLOCK 베드플레이트,8
DAMAGED ENGINE CYLINDER BLOCK 베드플레이트,8
CHIP ENGINE CYLINDER BLOCK 베드플레이트,28
WRONG DIAMETER ENGINE CYLINDER BLOCK 베드플레이트,10
WRONG DIAMETER ENGINE CYLINDER BLOCK 베드플레이트,10
NOK ENGINE CYLINDER BLOCK 베드플레이트,32
POROSITY ENGINE CYLINDER BLOCK 베드플레이트,24
LEAKAGE ENGINE CYLINDER BLOCK 베드플레이트,3
LEAK NOK ENGINE CYLINDER BLOCK 베드플레이트,3
LEAK NOK ENGINE CYLINDER BLOCK 베드플레이트,3
LEAK NOK ENGINE CYLINDER BLOCK 베드플레이트,3
LEAK NOK ENGINE CYLINDER BLOCK 베드플레이트,3
FOREIGN MATERIAL ENGINE CYLINDER BLOCK 베드플레이트,32
DIMENSION ENGINE CYLINDER BLOCK 베드플레이트,10
COLD NOK ENGINE CYLINDER BLOCK 베드플레이트,30
WRONG ENGINE CYLINDER BLOCK 베드플레이트,10
CHIP ENGINE CYLINDER BLOCK 베드플레이트,28
WRONG PART ENGINE CYLINDER BLOCK 볼트플러그,6
WRONG PART ENGINE CYLINDER BLOCK 볼트플러그,6
WRONG PART ENGINE CYLINDER BLOCK 볼트플러그,2
LESS PLATING ENGINE CYLINDER BLOCK 피스톤쿨링제트,33
PROBLEM ENGINE CYLINDER BLOCK 솔레노이드밸브오일펌프,10
PROBLEM ENGINE CYLINDER BLOCK 솔레노이드밸브오일펌프,10
MALFUNCTION ENGINE CYLINDER BLOCK 솔레노이드밸브오일펌프,13
PROBLEM ENGINE CYLINDER BLOCK 솔레노이드밸브오일펌프,10
서브품 누락 ENGINE CYLINDER BLOCK 피스톤쿨링젯바디,5
MIXED ENGINE CYLINDER BLOCK 링O,2
BROKEN PART MISS ENGINE CYLINDER BLOCK 인서트워터자켓,11
TEARED MISSED ENGINE CYLINDER BLOCK 인서트워터자켓,11
DAMAGE ENGINE CYLINDER BLOCK 인서트워터자켓,11
CATRIDGE NOT ASSEMBLED PROPERLY ENGINE CYLINDER BLOCK 인서트워터자켓,34
MISSING ENGINE CYLINDER BLOCK 니플배큠,5
MISSING ENGINE CYLINDER BLOCK 니플배큠,5
EXTRA PART ENGINE CYLINDER BLOCK 니플배큠,9
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCHES ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCHES ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
WRONG MARKING ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,21
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,23
MISS MATERIAL ENGINE CYLINDER BLOCK 베어링크랭크샤프트어퍼,4
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
DENT ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,6
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH DENTS ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
LOADED WRONG DIRECTION ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,34
SCRATCH DENT COATING DEFECT BURR PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
SCRATCH ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,23
BURRS ENGINE CYLINDER BLOCK 베어링크랭크샤프트로워,35
RUST PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트쓰러스트,29
COLOUR MISSED PART ENGINE CYLINDER BLOCK 베어링크랭크샤프트쓰러스트,12
DENTS GROOVE MISS EXTRA PROJECTION COLOUR MISSING DENTS ENGINE CYLINDER BLOCK 베어링크랭크샤프트쓰러스트,6
DENTS ENGINE CYLINDER BLOCK 베어링크랭크샤프트쓰러스트,6
QR코드 이중타각 ENGINE CYLINDER BLOCK 펌프오일,21
MISSING ENGINE CYLINDER BLOCK 펌프오일,5
바코드 리딩 오류 ENGINE CYLINDER BLOCK 펌프오일,21
MISS SILICON ENGINE CYLINDER BLOCK 커버타이밍벨트어퍼,5
DAMAGE ENGINE CYLINDER BLOCK 커버타이밍벨트로워,36
DEFORMATION ENGINE CYLINDER BLOCK 커버타이밍벨트로워,8
LEVEL GUAGE HOLE POSITION SHIFTED ENGINE CYLINDER BLOCK 커버타이밍체인,37
LEVEL GUAGE HOLE POSITION SHIFTED ENGINE CYLINDER BLOCK 커버타이밍체인,37
BLOW HOLES HOLE POSITION SHIFTED LEAK ENGINE CYLINDER BLOCK 커버타이밍체인,20
BLOW HOLES SEALNT ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES SEALNT ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES CHIP ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES LEAK BLOW HOLES LEAK BLOW HOLES ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES SEALANT ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES SEALANT ENGINE CYLINDER BLOCK 커버타이밍체인,26
MISSING ENGINE CYLINDER BLOCK 커버타이밍체인,12
CRACK ENGINE CYLINDER BLOCK 커버타이밍체인,11
CHIPS ENGINE CYLINDER BLOCK 커버타이밍체인,28
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인,3
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인,3
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인,3
LEAK NOK ENGINE CYLINDER BLOCK 커버타이밍체인,3
DEFORMATION ENGINE CYLINDER BLOCK 커버타이밍체인,8
CHIP ENGINE CYLINDER BLOCK 커버타이밍체인,28
CRACK ENGINE CYLINDER BLOCK 커버타이밍체인,11
CRACK ENGINE CYLINDER BLOCK 커버타이밍체인,11
CHIP ENGINE CYLINDER BLOCK 커버타이밍체인,28
CHIP ENGINE CYLINDER BLOCK 커버타이밍체인,28
MISS PART PACKING ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,4
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,6
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,6
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,6
DAMAGED ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,36
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,3
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,3
LEAKAGE ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,3
DAMAGED ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,11
BREAKAWAY ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,14
MISSING PART ENGINE CYLINDER BLOCK 커버타이밍체인오일펌프,4
나사산 마모에 의한 조립불량ㅁ ENGINE CYLINDER BLOCK 커버타이밍체인,14
나사산 마모에 의한 조립불량 ENGINE CYLINDER BLOCK 커버타이밍체인,14
UNWASH ENGINE CYLINDER BLOCK 커버타이밍체인,9
PART ENGINE CYLINDER BLOCK 커버타이밍체인,2
BLOW HOLE ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES THREAD UNWASH ENGINE CYLINDER BLOCK 커버타이밍체인,30
BLOW HOLES THREAD HOLES ENGINE CYLINDER BLOCK 커버타이밍체인,26
BLOW HOLES ENGINE CYLINDER BLOCK 커버타이밍체인,26
크랙 리크검사 FAIL ENGINE CYLINDER BLOCK 커버타이밍체인,3
ADDITIONAL ENGINE CYLINDER BLOCK 씰오일,34
MISSING MATERIAL ENGINE CYLINDER BLOCK 커버실린더블락,4
MISSED ENGINE CYLINDER BLOCK 팬오일,5
SCRATCHES SEALANT TORQUE PROBLEM MISS EXCESS PAINT LEAK ENGINE CYLINDER BLOCK 팬오일,23
SCRATCHES SEALANT ENGINE CYLINDER BLOCK 팬오일,23
SCRATCH PAINT DUST IMPRESSION MISS PART ENGINE CYLINDER BLOCK 팬오일,23
MISSING PART ENGINE CYLINDER BLOCK 팬오일,5
LEAK PART ENGINE CYLINDER BLOCK 팬오일,3
APPLYING TORQUE PART BEND MISS ENGINE CYLINDER BLOCK 팬오일,5
MISSING ENGINE CYLINDER BLOCK 팬오일,5
SCRATCHES SEALANT ENGINE CYLINDER BLOCK 팬오일,23
SCRATCH PAINT DUST IMPRESSION MISS PART ENGINE CYLINDER BLOCK 팬오일,23
UNEVEN SURFACE EXCESS PAINT BEND ENGINE CYLINDER BLOCK 팬오일,7
UNEVEN SURFACE EXCESS PAINT BEND ENGINE CYLINDER BLOCK 팬오일,7
UNEVEN SURFACE EXCESS PAINT PART ENGINE CYLINDER BLOCK 팬오일,7
SCRATCHES ENGINE CYLINDER BLOCK 팬오일,23
SCRATCH DENT ENGINE CYLINDER BLOCK 팬오일,23
WRONG MACHINING ENGINE CYLINDER BLOCK 팬필터오일,36
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHTENED ENGINE CYLINDER BLOCK 팬필터오일,38
UNTIGHETENED CHIP ENGINE CYLINDER BLOCK 팬필터오일,28
RELEASED SUBPART ENGINE CYLINDER BLOCK 팬필터오일,38
POROSITY ENGINE CYLINDER BLOCK 팬필터오일,30
POROSITY ENGINE CYLINDER BLOCK 팬필터오일,30
POROSITY ENGINE CYLINDER BLOCK 팬필터오일,30
POROSITY ENGINE CYLINDER BLOCK 팬필터오일,30
POLLUTION ENGINE CYLINDER BLOCK 팬필터오일,24
POLLUTION ENGINE CYLINDER BLOCK 팬필터오일,24
POLLUTION ENGINE CYLINDER BLOCK 팬필터오일,24
POLLUTION ENGINE CYLINDER BLOCK 팬필터오일,24
MISSING ENGINE CYLINDER BLOCK 팬필터오일,12
 ENGINE CYLINDER BLOCK 팬필터오일,34
LEAKAGE ENGINE CYLINDER BLOCK 팬필터오일,3
COLD NOK ENGINE CYLINDER BLOCK 팬필터오일,39
COLD NOK ENGINE CYLINDER BLOCK 팬필터오일,39
COEXCHANGED FILTERS ENGINE CYLINDER BLOCK 팬필터오일,39
CHANGED ENGINE CYLINDER BLOCK 팬필터오일,39
ADDITIONAL MATERIAL ENGINE CYLINDER BLOCK 팬필터오일,40
MALFUNCTION ENGINE CYLINDER BLOCK 팬필터오일,13
WRONG ROUGHNESS ENGINE CYLINDER BLOCK 팬필터오일,25
LEAKAGE ENGINE CYLINDER BLOCK 팬필터오일,3
LEAKAGE ENGINE CYLINDER BLOCK 팬필터오일,3
LEAKAGE ENGINE CYLINDER BLOCK 팬필터오일,3
LEAK NOK ENGINE CYLINDER BLOCK 팬필터오일,3
CONTAMINATION ENGINE CYLINDER BLOCK 팬필터오일,24
CONTAMINATION ENGINE CYLINDER BLOCK 팬필터오일,24
COLD NOK ENGINE CYLINDER BLOCK 팬필터오일,39
평탄도 불량 ENGINE CYLINDER BLOCK 팬오일,8
WRONG ASSEMBLED ENGINE CYLINDER BLOCK 브라켓엔진서포트,41
UNTIGHTENED STUDS ENGINE CYLINDER BLOCK 브라켓엔진서포트,34
MATERIAL EXTRA ENGINE CYLINDER BLOCK 브라켓엔진서포트,19
EXTRA MATERIAL ENGINE CYLINDER BLOCK 브라켓엔진서포트,19
WRONG SUBPART ENGINE CYLINDER BLOCK 브라켓엔진서포트,41
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
DAMAGE ENGINE CYLINDER BLOCK 브라켓엔진마운팅,23
DAMAGE ENGINE CYLINDER BLOCK 브라켓엔진마운팅,23
DAMAGE ENGINE CYLINDER BLOCK 브라켓엔진마운팅,23
PACKING PROBLEM SHORTAGE ENGINE CYLINDER BLOCK 브라켓엔진마운팅,4
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
RUST ENGINE CYLINDER BLOCK 브라켓엔진마운팅,29
ENGIN ABNORMAL NOISE ENGINE CYLINDER BLOCK 브라켓엔진마운팅,17
HOLE MISALIGNMENT ENGINE CYLINDER BLOCK 브라켓엔진마운팅서포트,16
HOLE MISALIGNMENT ENGINE CYLINDER BLOCK 브라켓엔진마운팅서포트,16
WRONG HOLE POSITION ENGINE CYLINDER BLOCK 브라켓엔진마운팅서포트,10
WRONG HOLE GEOMETRY ENGINE CYLINDER BLOCK 브라켓엔진마운팅서포트,10
ROTATE 오위치 ENGINE CYLINDER BLOCK 인슐레이터트랜스미션마운팅,34
NUT BROKEN ENGINE CYLINDER BLOCK 브라켓트랜스미션마운팅,36
SHIFTING POSITION ENGINE CYLINDER BLOCK 브라켓트랜스미션마운팅,17
WRONG PART ENGINE CYLINDER BLOCK 브라켓트랜스미션마운팅,2
DIMENSION PROBLEM ENGINE CYLINDER BLOCK 브라켓트랜스미션마운팅,10
BROKEN THREAD TORQUE ENGINE CYLINDER BLOCK 브라켓롤로드,36
CRACK ENGINE CYLINDER BLOCK 브라켓롤로드,11
BROKEN ENGINE CYLINDER BLOCK 브라켓롤로드,8
BROKEN ENGINE CYLINDER BLOCK 브라켓롤로드,8
WELDING PROBLEM ENGINE CYLINDER BLOCK 브라켓롤로드,42
LOOSE SUBPART WELDING FAULT ENGINE CYLINDER BLOCK 브라켓롤로드,43
BLOW HOLES MACHINING ENGINE CYLINDER HEAD 시트밸브인렛,20
BLOW HOLE ENGINE CYLINDER HEAD 시트밸브인렛,20
BLOW HOLE ENGINE CYLINDER HEAD 시트밸브인렛,20
POROSITY ENGINE CYLINDER HEAD 캡캠샤프트베어링,24
오조립 ENGINE CYLINDER HEAD 캡캠샤프트베어링,34
미성형 ENGINE CYLINDER HEAD 캡캠샤프트베어링,19
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,16
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,16
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,16
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,16
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,16
MISSING MACHINING ENGINE CYLINDER HEAD 캡캠샤프트베어링,10
MISS NUMBER ENGINE CYLINDER HEAD 캡캠샤프트베어링,12
MISSING PINS ENGINE CYLINDER HEAD 캡캠샤프트베어링,5
가공불량 ENGINE CYLINDER HEAD 볼트플러그,10
DAMAGE PART ENGINE CYLINDER HEAD 볼트플러그,6
DAMAGE ENGINE CYLINDER HEAD 볼트플러그,6
SCRATCHES ENGINE CYLINDER HEAD 파이프스파크플러그,23
CONTAMINATION ENGINE CYLINDER HEAD 파이프스파크플러그,24
CONTAMINATION ENGINE CYLINDER HEAD 파이프스파크플러그,24
CONTAMINATION ENGINE CYLINDER HEAD 파이프스파크플러그,24
CONTAMINATION ENGINE CYLINDER HEAD 파이프스파크플러그,24
WRONG DIMENSION ENGINE CYLINDER HEAD 파이프스파크플러그,10
WRONG DIMENSION ENGINE CYLINDER HEAD 파이프스파크플러그,10
DAMAGE ENGINE CYLINDER HEAD 파이프스파크플러그,6
CONTAMINATION ENGINE CYLINDER HEAD 파이프스파크플러그,24
WRONG ROUGHNESS ENGINE CYLINDER HEAD 캐리어서브캠샤프트,44
NOK THREAD ENGINE CYLINDER HEAD 캐리어서브캠샤프트,10
MISSING MATERIAL ENGINE CYLINDER HEAD 캐리어서브캠샤프트,6
MISSING MACHINING ENGINE CYLINDER HEAD 캐리어서브캠샤프트,10
PART MISSING LEAK ENGINE CYLINDER HEAD 캐리어서브캠샤프트,16
EVENT PART POROSITY ENGINE CYLINDER HEAD 캐리어서브캠샤프트,24
DIMENSION SPEC FRONT ENGINE CYLINDER HEAD 캐리어캠샤프트,10
BLOW HOLES FRONT CAPS ENGINE CYLINDER HEAD 캐리어캠샤프트,20
BLOW HOLES CAPS ENGINE CYLINDER HEAD 캐리어캠샤프트,20
BLOW HOLES ENGINE CYLINDER HEAD 캐리어캠샤프트,20
소재불량 기포과다 ENGINE CYLINDER HEAD 캐리어서브캠샤프트,30
기포과다 ENGINE CYLINDER HEAD 캐리어서브캠샤프트,30
MIXING ENGINE CYLINDER HEAD 캐리어서브캠샤프트,2
MIXING ENGINE CYLINDER HEAD 캐리어서브캠샤프트,2
소재불량 기포과다 ENGINE CYLINDER HEAD 캐리어캠샤프트,30
소재불량 기포과다 ENGINE CYLINDER HEAD 캐리어캠샤프트,30
기포과다 ENGINE CYLINDER HEAD 캐리어캠샤프트,30
HOLE UNDAERSIZED ENGINE CYLINDER HEAD 캐리어캠샤프트,10
부싱이탈 ENGINE CYLINDER HEAD 캡캠샤프트베어링,36
서브작업불가 ENGINE CYLINDER HEAD 캡캠샤프트베어링,13
RUST ENGINE CYLINDER HEAD 스터드매니폴드익스호스트,29
UNCLEAR MARKING ENGINE CYLINDER HEAD 밸브인렛,21
UNCLEAR MARKING ENGINE CYLINDER HEAD 밸브인렛,21
UNCLEAR MARKING ENGINE CYLINDER HEAD 밸브인렛,21
